file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS149190	FASTQ	DNA	15850889	1579203466	31	99.6	101
SRS149237	FASTQ	DNA	19820931	1980509843	31	99.9	100
SRS149286	FASTQ	DNA	28805920	2874386055	31	99.8	100
SRS149334	FASTQ	DNA	19651271	1962847514	31	99.9	100
SRS149492	FASTQ	DNA	23899827	2387806083	31	99.9	100
SRS149585	FASTQ	DNA	7882996	787362300	31	99.9	100
SRS149647	FASTQ	DNA	45400784	4539204974	31	100	100
SRS149696	FASTQ	DNA	16159262	1614577736	31	99.9	100
SRS149973	FASTQ	DNA	31527188	3151980275	31	100	100
SRS150038	FASTQ	DNA	4307	426892	42	99.1	100
