clade_name	NCBI_tax_id	SRS149196	SRS149090	SRS148832	SRS144713	SRS144312	SRS143690	SRS143147	SRS142557	SRS097963	SRS097925	SRS077646	SRS077453	SRS077397	SRS077236	SRS076865	SRS076761	SRS075980	SRS075883	SRS075778	SRS058213	SRS054061	SRS053437	SRS052590	SRS051613	SRS050025	SRS046344	SRS020868	SRS020386	SRS020232	SRS019986	SRS019597	SRS019386	SRS019339	SRS019215	SRS018784	SRS018671	SRS018585	SRS018463	SRS018369	SRS018312	SRS017820	SRS017697	SRS017451	SRS017244	SRS017156	SRS017044	SRS016752	SRS016581	SRS016553	SRS016513	SRS016434	SRS016292	SRS016188	SRS016033	SRS015996	SRS015937	SRS015752	SRS015640	SRS015450	SRS015430	SRS015269	SRS015051	SRS014901	SRS014682	SRS014464	SRS013956	SRS013876	SRS013637	SRS013269	SRS013155	SRS012663	SRS012291	SRS011397	SRS011263	SRS011132
s__Veillonella_dispar	2|1239|909932|1843489|31977|29465|39778	0	0	0	0	0	0	0	0.56391	0	0	0	0	0	4.44361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04802	0	0
s__Veillonella_infantium	2|1239|909932|1843489|31977|29465|1911679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Veillonella_parvula	2|1239|909932|1843489|31977|29465|29466	0	0	0	0	0	0	0	0	0	0	0	0.10919	0	0	3.50396	0	0	0.00641	0	0	0	0	0	0	0.35988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12152	0	0
s__Anaerococcus_nagyae	2|1239|1737404|1737405|1570339|165779|1755241	0.05074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73065	0	0.22985	0	0	0	0	0.38244	0	0	0.3768	0	0.31025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08229	0	0	0	0	0.0196	0	0	0	0	0	0	0.09303	0.01611	0	0	0	0	0	0	0	0	0	0	0
s__Anaerococcus_octavius	2|1239|1737404|1737405|1570339|165779|54007	1.74838	0	0	0	0	0.12641	1.64696	0	0	4.27076	5.10752	0.77867	0	0	0	0.43736	0	1.38289	0	1.09125	0	0	0	0	1.31912	0	0	1.37068	1.50768	0.15144	0	1.41802	2.92219	0	0.54001	0	0	0	3.70481	0	0.67211	0	0.09429	0	0	1.33212	0.90051	0	2.98066	6.01828	0.14609	0	0.81405	0	0	0.25839	0.49991	0	0	0	0	0	0	0.08529	0	0	0	0	0	0.16575	0.04901	0	0.62373	0.21989	0
s__Finegoldia_magna	2|1239|1737404|1737405|1570339|150022|1260	0.12376	0	0	0	0	0	0.16129	0	0	1.43484	1.03018	0.41056	0	0	0	0	0	1.62468	0	0	0	0	0	0	0.28024	0	0	0.06192	1.07387	0	0	0.78167	0.03253	0	0	0	0	0	0	0	0.32646	0	0.99504	0	0	0.42878	0	0	0.52416	1.26549	0.79244	0	0.3653	0	0	0	0	0	0	0	0	0	0	0.04124	0	0	0	0	0	0	0	0	0.20233	0	0
s__Peptoniphilus_harei	2|1239|1737404|1737405|1570339|162289|54005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Fusobacterium_necrophorum	2|32066|203490|203491|203492|848|859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Fusobacterium_periodonticum	2|32066|203490|203491|203492|848|860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Fusobacterium_sp_oral_taxon_370	2|32066|203490|203491|203492|848|712288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
