clade_name	NCBI_tax_id	SRS149878	SRS149783	SRS149665	SRS149594	SRS149343	SRS149093	SRS148835	SRS148529	SRS148459	SRS148423	SRS148318	SRS148214	SRS148147	SRS147880	SRS147727	SRS147661	SRS147433	SRS147290	SRS147175	SRS146924	SRS146849	SRS145518	SRS144639	SRS144219	SRS143894	SRS143778	SRS143596	SRS143465	SRS143378	SRS143340	SRS143247	SRS143016	SRS142959	SRS142710	SRS142560	SRS142521	SRS142501	SRS140666	SRS140534	SRS105169	SRS104701	SRS104644	SRS104501	SRS104416	SRS104309	SRS104195	SRS104102	SRS103964	SRS103938	SRS102823	SRS101454	SRS098842	SRS098815	SRS098642	SRS098587	SRS098530	SRS098081	SRS098039	SRS097887	SRS078686	SRS078263	SRS078197	SRS077793	SRS077751	SRS077649	SRS077400	SRS077343	SRS077210	SRS077032	SRS076945	SRS076812	SRS075983	SRS075979	SRS075886	SRS075829	SRS075419	SRS065347	SRS064704	SRS064666	SRS064568	SRS064376	SRS064225	SRS063804	SRS062520	SRS062512	SRS057807	SRS057344	SRS056796	SRS056695	SRS056623	SRS056483	SRS056156	SRS055298	SRS055018	SRS054962	SRS053741	SRS052859	SRS052756	SRS052620	SRS052330	SRS051637	SRS051548	SRS051505	SRS050184	SRS049390	SRS049340	SRS049237	SRS048536	SRS047335	SRS047140	SRS046034	SRS044902	SRS044742	SRS042858	SRS042428	SRS024428	SRS024310	SRS024068	SRS023850	SRS023468	SRS023466	SRS022734	SRS022158	SRS022092	SRS021969	SRS020349	SRS019989	SRS019807	SRS019600	SRS019485	SRS019379	SRS019285	SRS019245	SRS018769	SRS018535	SRS018488	SRS017700	SRS017520	SRS017497	SRS016692	SRS016584	SRS016559	SRS016516	SRS016191	SRS016111	SRS015702	SRS015587	SRS015481	SRS015425	SRS015225	SRS015168	SRS015148	SRS015073	SRS015054	SRS014801	SRS014744	SRS014629	SRS014523	SRS014494	SRS014415	SRS014343	SRS013973	SRS013542	SRS012934	SRS012294	SRS011584	SRS011355	SRS011269	SRS011111
s__Capnocytophaga_granulosa	2|976|117743|200644|49546|1016|45242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Capnocytophaga_leadbetteri	2|976|117743|200644|49546|1016|327575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06878	0	0	0	0	0	0	0.20446	0.13993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Capnocytophaga_ochracea	2|976|117743|200644|49546|1016|1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Capnocytophaga_sp_oral_taxon_332	2|976|117743|200644|49546|1016|712213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Capnocytophaga_sp_oral_taxon_863	2|976|117743|200644|49546|1016|1227265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Capnocytophaga_sputigena	2|976|117743|200644|49546|1016|1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75183	0	0	0	0	0	0	0	0	0	0	0	0	1.36977	0	0	0	0	0	0	0	0.87848	0	0	0	0.04814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Chlamydia_ibidis	2|204428|204429|51291|809|810|1405396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Chlamydia_trachomatis	2|204428|204429|51291|809|810|813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Gemella_asaccharolytica	2|1239|91061|1385||1378|502393	0	0.00307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08859	0	0	0	0	0	0.55575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02971	0	0.00573	0	0	0	0	0	0	0.335	0.22353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02119	0	0	0	0	0	0.19232
s__Gemella_bergeri	2|1239|91061|1385||1378|84136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
