clade_name	NCBI_tax_id	SRS149184	SRS149078	SRS148771	SRS142545	SRS077441	SRS077239	SRS076764	SRS075765	SRS057791	SRS057539	SRS056323	SRS055426	SRS054687	SRS053854	SRS052227	SRS050244	SRS049389	SRS047824	SRS044373	SRS043663	SRS042643	SRS023352	SRS022719	SRS022530	SRS022143	SRS020334	SRS019974	SRS019607	SRS019389	SRS019219	SRS018791	SRS018739	SRS018591	SRS017808	SRS017713	SRS017533	SRS016529	SRS016501	SRS016319	SRS016225	SRS016086	SRS016037	SRS016002	SRS015941	SRS015893	SRS015762	SRS015644	SRS015537	SRS015434	SRS015395	SRS015272	SRS015209	SRS015038	SRS014888	SRS014684	SRS014573	SRS014470	SRS014271	SRS014124	SRS013879	SRS013502	SRS013234	SRS013164	SRS012279	SRS011243	SRS011140
g__Solobacterium	2|1239|526524|526525|128827|123375	0.15651	0.11383	0.08751	0.04311	0	0.02869	0.13685	0.15609	0.20213	0.20432	0.06978	0.09587	0.08827	0.28189	0.08533	0.24917	0.05816	0.14851	0.14605	0.07349	0.52092	0.51182	0.02797	0.03399	0.40984	0.0964	0.04184	0.18924	0.03481	0.21337	0.16301	0.19451	0.15627	0.23963	0.03261	0.01739	0.00136	0.00251	0.44766	0.09009	0.0393	0.05993	0.08342	0.1824	0.09253	0.14848	0.10798	0.03748	0.10679	0.03198	0.05502	0.09461	0.43152	0.02452	0.30813	0.1631	0.29602	0.38073	0.00409	0.21668	0.05142	0.00631	0.09175	0.2476	0.008	0.06278
g__Centipeda	2|1239|909932|909929|1843491|82202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00278	0	0	0	0	0.002	0	0	0.00398	0	0	0	0	0	0	0.02204	0	0	0	0	0	0	0	0	0	0	0	0.00073	0.00227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0
g__Selenomonas	2|1239|909932|909929|1843491|970	0.02443	0.0192	0.00709	0	0	0	0.01311	0.18969	0.02448	0.02508	0.00981	0.01994	0.00433	0.03214	0	0.01935	0.06638	0.11087	0.00363	0	0.10295	0.05095	0.00332	0	0.09454	0.00106	0.00889	0.02218	0.00784	0.04539	0.0459	0.32217	0.07914	0.0112	0.00364	0	0.00033	0	0.05209	0.00069	0.02903	0	0.00522	0.02903	0.06465	0.07078	0.00023	0.00183	0.01976	0.00422	0.10359	0.02388	0.07088	0	0.00122	0.11681	0.05154	0.20528	0	0	0.00185	0.01768	0.00029	0.00887	0	0.00613
g__Anaeroglobus	2|1239|909932|1843489|31977|156454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012	0.00919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dialister	2|1239|909932|1843489|31977|39948	0	0	0.00147	0	0	0	0	0	0.00121	0.00493	0	0.00694	0	0	0.0031	0.00148	0	0.00318	0	0	6e-05	0.06267	0.00023	0	0.11827	0.03312	0.00569	0	0	9e-05	0.13326	0.02662	0	0.01826	0.00481	0.00154	0.00155	0	0	0.00484	0	0	0	0.01032	0.00248	0.01772	0	0.00018	0.00063	0	0	0	0.00098	0	0.06638	0	0.01133	0.00033	0	0	0	0	0	0	0	0
g__Megasphaera	2|1239|909932|1843489|31977|906	1.92085	1.116	1.51545	0.01924	0.009	0.28936	1.20112	2.83599	0.78221	2.11849	1.09399	0.12997	0.1024	1.98751	0.07203	1.21375	0.03877	1.30034	0.22197	0.02096	1.98433	2.15572	0.00081	0	4.09002	1.17162	0.7964	0.66967	0.06545	1.46936	3.55027	2.38196	1.82672	0.52825	0.22524	0.08028	0.0133	0.01209	0.54611	0.06563	0.2115	0	0.11325	1.68064	1.98445	1.07869	0.05996	0.01106	1.05026	0.15626	0.75475	5.364	2.62552	0.00046	1.65058	0.24677	2.56584	1.37105	0.13017	0	0.11151	0.38345	0.00101	0.5176	0.01297	0.05138
g__Veillonella	2|1239|909932|1843489|31977|29465	10.58333	7.20372	12.78783	3.98865	3.10425	4.49048	16.81046	14.6697	26.48887	26.7208	13.65198	8.49046	7.07639	12.09011	5.25606	13.8428	8.45294	14.80779	16.7654	8.61332	11.87499	23.08257	1.53674	2.23996	17.49856	24.3809	13.89304	10.94173	10.8303	19.31379	25.38117	17.17617	24.25216	14.14947	7.82279	6.31333	5.02423	5.01287	14.22162	6.96926	11.72076	13.64206	3.20945	20.72321	17.78768	6.6096	5.5003	14.64935	5.84933	9.37044	25.65836	20.09569	22.24576	3.58469	29.61349	6.43156	18.57873	11.44622	4.97188	1.95266	9.93371	13.51516	4.94932	10.14382	7.55911	5.85757
g__Parvimonas	2|1239|1737404|1737405|1570339|543311	0.00556	0.00232	0	0.00036	0	0.00018	0	0	0.0001	0.00439	0	0.05081	0	0	0.04668	0.00575	0.01429	8e-05	0.00071	0.0128	0.0043	0.0142	0.01249	0.00018	0.00122	0.01101	0.03021	0	0	0.00289	0	0.00667	0.01098	0.00197	0.00919	0.02794	0.01453	0.01771	0	0.01047	0.00114	0.01075	0.00224	0	0	0.02935	0.0038	0.02119	0.01743	0.00065	0	0	0.00606	0.0053	0.00417	0.00819	0.0072	0.01109	0.00109	0.00789	0.01065	0.01025	0.02895	0.01316	0.00666	0.00681
g__Peptoniphilus	2|1239|1737404|1737405|1570339|162289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Fusobacterium	2|32066|203490|203491|203492|848	0.79598	0.8683	0.30082	4.40578	1.7122	4.01174	0.52466	0.03469	1.61219	8.80382	0.27705	5.42276	1.8738	0.46098	11.44221	10.25653	16.61847	8.90613	9.24172	9.99634	13.80413	2.33048	9.74706	9.63066	6.25962	0.17277	2.35036	3.84402	0.67745	3.00647	0.48578	9.12936	3.2123	6.68817	0.49044	6.03285	1.66003	1.72044	11.0596	5.71295	0.49239	5.14687	3.36888	1.86921	4.55331	13.52211	10.34269	0.17386	21.18967	0.18935	0.01065	4.45236	0.42182	7.33315	10.4124	15.33108	6.8591	4.76665	2.01966	4.77842	2.33916	0.11234	13.15585	14.18427	7.95517	3.79146
g__Leptotrichia	2|32066|203490|203491|1129771|32067	0.17931	0.3934	0.77016	0.18267	0.02969	0.41732	0.71141	3.2871	0.37702	4.25599	0.22764	0.62943	0.42655	0.01072	0.41468	4.00119	1.75137	1.40465	0.52686	0.43447	11.37261	3.2934	0.50204	1.63047	5.12493	0.77373	0.29187	0.95534	0.52307	3.56788	1.19384	3.4792	3.15926	1.05675	0.37396	0.3616	0.05163	0.066	2.48562	0.27862	0.55864	0.44689	0.14669	0.57243	2.82375	4.17831	0.16692	0.30915	2.67767	0.10389	2.68714	2.02985	4.31294	0.61363	0.33347	1.20953	1.98166	2.27702	0.01039	0.44707	0.34304	0.30465	0.5099	2.33038	0.32957	0.40883
g__Lautropia	2|1224|28216|80840|119060|47670	0.02328	0.11305	0.01123	0.0353	0.04551	0.02041	0.0202	0.01629	0.00157	0.0083	0	0.11045	0.02634	0	0.0073	8e-05	0.0001	0	0	0	0	0	0.58867	0.00217	0.00494	0.0015	0.02115	0	0.00215	0	0	0	0.00243	0.05226	0.08465	0.05982	0	0	0.01196	0	0.0097	0.00524	0	0	0.00221	0.00473	0.00261	0.00332	0.0222	0.0144	0	0.00138	0	0.09283	0	0.00451	0.00082	0.01057	0.00619	0.00436	0.15523	0.02548	0.00809	0.01841	0.0146	0.04508
g__Ottowia	2|1224|28216|80840|80864|219181	0	0	0	0	0.00191	0	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Eikenella	2|1224|28216|206351|481|538	0	0	0	0.00295	0	0	0	0	0	0	0	0	0.00029	0	0.01582	0.01342	0	0	0.00027	0.00114	0.00095	0	0.00392	0.12969	0.00778	0.00527	0.00073	0	0	0	0	0.00633	0	0.00068	0.00149	0.02586	0.00253	0.00173	0	0	0	0.07676	0.00106	0	0	0.16354	0	0.00415	0.09469	0	0	0	0	0.02084	0	0.00342	0	0	0	0.19143	0	0.00664	0	0	0	0
g__Kingella	2|1224|28216|206351|481|32257	0	0	0	0	0	0.00036	0.00096	0.00043	0.00049	0	0	0.00448	0.03005	0.001	0	0	0	0.00776	0	0	0	0.00043	0	0.05857	0.00107	0.00536	0.02016	0.00664	0.0002	0	0	0.00103	0	0	0.01817	0.05323	0.0325	0.02348	0	0	0.00223	0	0.00571	0	0.00045	0	0	0.00412	0	0.00179	0	0	0	0.04359	0	0.00016	0	0	0	0.00508	0	0.01454	0	0	0.02799	0.00105
g__Morococcus	2|1224|28216|206351|481|212742	0	0	0	0.0098	0	0	0	0	0	0	0	0	0.00421	0	0	0	0	0	0	0	0	0	3.81248	0	0	0	0.04332	0.01584	0.00381	0	0	0	0	0.00851	1.40888	0	0	0	0.00248	0.02518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00321	0	0	0	0	0	0	0.00354	0.06683
g__Neisseria	2|1224|28216|206351|481|482	0.80479	7.10073	2.99863	25.21615	62.03146	30.96893	2.25647	1.19206	0.25041	0.7787	0.06161	3.82615	29.12175	3.81652	15.52451	12.76883	16.03322	20.15007	16.53689	0.64395	0.11028	0.75233	42.46775	39.59086	2.54046	0.02962	6.02054	34.57033	42.58322	1.96654	0.3555	5.83384	2.26915	12.46896	47.13288	4.56191	0.65178	0.52281	5.0851	36.45079	39.33603	17.67521	65.16986	4.08515	22.02351	10.43205	19.09151	0.08422	14.40592	0.6214	2.63561	0.04953	1.17562	5.32682	0	15.75503	1.87555	13.78785	0.78248	47.90642	10.01824	0.12813	7.79433	8.35492	18.90853	19.54083
g__Simonsiella	2|1224|28216|206351|481|71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00357	0	0	0	0.00519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01043	0	0	0	0	0	0.01587	0	0	0	0	0	0	0	0.00919	0	0.03866	0	0	0	0	0	0	0	0	0	0
g__Campylobacter	2|1224|29547|213849|72294|194	2.7827	1.50111	1.41639	0.96873	0.96742	1.15731	1.76567	6.59953	7.82436	5.36589	1.73301	2.7749	3.09966	3.00163	0.35406	3.62986	1.31528	3.46562	5.70142	0.38873	3.84604	6.35506	0.27714	1.58338	3.51138	1.00392	3.22473	2.5626	2.74075	4.90693	4.66225	3.98538	8.25406	1.84022	2.31489	0.50086	0.26335	0.22845	9.51829	0.89602	4.79168	2.34414	2.77079	7.16981	4.85883	4.66138	1.56951	0.86992	4.24713	1.7741	1.61058	2.34328	8.16725	0.27582	3.84579	4.1568	5.20928	3.73062	1.00197	0.61212	5.53995	1.17757	0.6415	1.69445	0.64449	1.69774
g__Helicobacter	2|1224|29547|213849|72293|209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cardiobacterium	2|1224|1236|135615|868|2717	0.00339	0	0	0.09138	0.00525	0.00188	0	0	0	0	0	0.01031	0.00188	0	0.00445	0	0	0	0	0	0	0	0.02049	0.0011	0.00011	0.01164	0.00336	0.00125	0.0039	0	0	0.00326	0	0.00601	0.00323	0.03058	0.00093	0.00142	0	0	0	0.0018	0.0015	0	0.00117	0.00276	0	0.00143	0	0	0	0	0	0.00857	0	0.00037	0	0.00301	0	0	0.00062	0.01544	0	0	0.00452	0.00547
g__Escherichia	2|1224|1236|91347|543|561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aggregatibacter	2|1224|1236|135625|712|416916	0.02954	0	0	0.36804	0.02566	0.01506	0	0	0.01028	0.01962	0	0.03826	0.02175	0	0.04278	0.01755	0.0293	0.00168	0.02501	0.01005	0.00448	0.01862	0.43176	0.02321	0.00836	0.10744	0.019	0.00596	0	0.00246	0	0.02554	0.0043	0.08443	0.17523	0.12384	0.00604	0.00515	0.01018	0.01459	0	0.00623	0.00701	0	0.00042	0.04986	0.00504	0.03663	0.00941	0.02488	0	0	0.00352	0.04939	0	0.01507	0.01688	0.00599	0.00061	0.03749	0.1443	0.12431	0.06192	0.00297	0.01138	0.12066
g__Haemophilus	2|1224|1236|135625|712|724	1.66675	0.79331	0.38518	13.31051	8.96795	3.08377	3.76144	0.82645	2.61781	3.03489	0.3554	6.08952	3.25403	0.71325	10.30595	3.39014	24.71891	0.5086	6.38353	15.76721	0.39019	2.24801	17.82825	11.40565	1.57623	0.55697	8.5696	2.46974	3.06174	0.53735	1.5378	0.9306	0.14944	17.51538	5.83239	7.61675	22.52198	22.43483	1.41343	14.92348	7.80284	14.32622	3.10581	2.94626	0.26518	8.4868	6.97159	0.22374	6.86357	0.54884	0.08718	0.27158	0.73762	25.58652	0.50247	9.79842	1.18539	1.47313	15.68707	8.65631	7.50714	1.98254	24.44426	4.72003	27.99453	7.71211
g__Tepidiphilus	2|1224|2008785|119069|206349|203470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Treponema	2|203691|203692|136|137|157	0	0.00832	0	0	0	0	0	0	0	0.00613	0	0.21175	0	0	0.00017	0.05353	0.15365	0	0.00614	0	0.06337	0.00588	0.00571	0.01655	0.04175	0.0043	0	0	0	0.00244	0	0.01423	0	0.02169	0.00361	0.02227	0	0	0.00327	0.00555	0.0008	0	0	0.00201	0	0.03573	0.00048	0	0.05146	0.00126	0	0	0.01006	0	0	0.01225	0.00661	0	0	0	0	0.00515	0	0	0	0.01197
g__Fretibacterium	2|508458|649775|649776|649777|1434006	0	0	0	0	0	0	0	0	0	0	0	0.01526	0	0	0	0	0	0	0	0	0	0	0	0	0.00051	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candida	2759|4890|4891|4892|766764|1535326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0	0.00534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
