clade_name	NCBI_tax_id	SRS055118	SRS050628	SRS050029	SRS050007	SRS048719	SRS045262	SRS045254	SRS045049	SRS043646	SRS042457	SRS023354	SRS022721	SRS022532	SRS022145	SRS020858	SRS020336	SRS019976	SRS019587	SRS019391	SRS019329	SRS019221	SRS018661	SRS018359	SRS018329	SRS018149	SRS017810	SRS017687	SRS017537	SRS017441	SRS017215	SRS017127	SRS017080	SRS017013	SRS016600	SRS016533	SRS016503	SRS016349	SRS016297	SRS016196	SRS016088	SRS016039	SRS015921	SRS015895	SRS015745	SRS015646	SRS015436	SRS015374	SRS015274	SRS015154	SRS015040	SRS014890	SRS014686	SRS014575	SRS014472	SRS014126	SRS013945	SRS013881	SRS013825	SRS013711	SRS013506	SRS013239	SRS012281	SRS011310	SRS011247	SRS011144	SRS011090
g__Campylobacter	2|1224|29547|213849|72294|194	0.42405	0.51172	0	2.87079	0	0.06628	1.17383	0.09299	0.31754	0.15752	0.07483	0.1236	0.06954	0.02358	0.41934	0.08747	0.203	0.03752	0	0.00081	0.14639	0.25455	0.05228	0.04877	0.01372	0.93983	0.65556	0.00218	0.06722	0.15003	0	0.95184	0.03395	0.05841	0.01298	0.029	0.38588	0.97125	0	0.51546	0.40268	0.01991	0.04368	0.45733	0.04907	0.18649	0.00488	0.53468	0.19949	0.05253	0.01193	0.93511	0.40479	0	0	0.01568	0.05473	0.32393	3.81892	0.07704	1.3987	0	0.01089	0.24295	1.97231	0.00375
g__Helicobacter	2|1224|29547|213849|72293|209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57484	0.36541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cardiobacterium	2|1224|1236|135615|868|2717	0	0.2327	0.00113	0	0.00747	0	0.06865	0.07841	0	0	0	0.00589	0	0	0	0	0	0.01351	0	0.24257	0	0.04715	0.0167	0	0.00453	0.00568	0.03696	0	0.08605	0.02151	0	0.01706	0	0.00155	0	0	0	0.11778	0	0	0.19962	0.01621	0	0.01649	0	0	0	0	0.14375	0	0	0	0.01947	0	0	0.00197	0.01814	0	0	0	0	0	0	0.0148	0	0
g__Escherichia	2|1224|1236|91347|543|561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01009	0	0	0	0	0	0	0.01656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aggregatibacter	2|1224|1236|135625|712|416916	0	0.47993	0.03414	2.3713	0.21567	0.10723	0.29235	1.44473	0.05547	0.1577	0.01786	2.04591	0.40381	0.1705	0	0.65506	0.07973	0.09336	0	0.42585	0	0.47682	0.50511	0.06959	0.09108	0.13987	1.68224	0.04958	0.19592	0.27033	0	0.05285	0.25877	0.47044	0	0	0.67693	3.23023	0.00916	0	0.19675	0.00417	0	0.32954	0.00407	0.39907	0.07945	0	0.36202	0.0582	0.103	0.01379	0.04474	0.51333	0	0.49553	0.0368	0.05346	0.19544	0.14907	0	0.41991	1.3693	0.04519	0.80959	0.01149
g__Haemophilus	2|1224|1236|135625|712|724	5.05759	9.66153	49.41399	9.16721	6.19949	15.14197	3.37014	20.11568	3.72495	15.12115	2.68559	6.95648	10.56405	15.71712	9.6997	2.65075	20.10656	42.76401	13.27628	25.33898	12.56741	19.93869	16.45758	5.51013	23.69474	10.95821	8.83771	2.23785	10.9025	15.82415	7.47879	6.74978	19.38098	2.0755	16.77653	16.44725	5.8963	7.93749	4.37803	8.34882	16.82383	6.00019	8.37301	24.98055	19.52209	18.94591	20.31261	3.25461	16.86381	5.81951	5.51395	3.2647	24.73303	7.36173	5.09043	24.92973	15.56098	14.25015	2.97798	20.22189	18.20677	4.89678	15.93424	7.19282	13.92772	10.47711
g__Acinetobacter	2|1224|1236|72274|468|469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Treponema	2|203691|203692|136|137|157	0	0.04429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559	0	0	0	0.04713	0.00195	0	0	0	0	0.01351	0	0	0	0	0	0	0	0	0	0	0	0.05161	0	0	0	0	0	0	0	0.01783	0	0	0	0	0	0.06775	0.05118	0	0	0	0	0	0	0
g__Fretibacterium	2|508458|649775|649776|649777|1434006	0	0	0	0	0	0	0	0	0	0	0.00599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297	0	0.01954	0	0	0	0	0	0	0	0
g__Candida	2759|4890|4891|4892|766764|1535326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00215	0	0	0	0.00242	0.66442	0
g__Malassezia	2759|5204|1538075|162474|742845|55193	0	0	0	0	0	0	0	0	0	0	0	0	0.00569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
