clade_name	NCBI_tax_id	SRS149181	SRS149075	SRS148817	SRS148784	SRS148196	SRS148159	SRS147766	SRS147346	SRS146764	SRS145497	SRS144714	SRS144506	SRS144362	SRS144297	SRS143991	SRS143876	SRS143780	SRS143598	SRS143417	SRS143342	SRS143181	SRS143148	SRS143070	SRS142781	SRS142712	SRS142599	SRS142542	SRS142505	SRS142503	SRS140645	SRS140513	SRS140492	SRS105082	SRS104400	SRS104197	SRS103987	SRS101433	SRS101376	SRS100021	SRS098881	SRS098827	SRS098717	SRS098655	SRS098514	SRS097958	SRS097920	SRS097889	SRS078665	SRS078419	SRS078242	SRS077849	SRS077753	SRS077641	SRS077589	SRS077552	SRS077502	SRS077454	SRS077392	SRS077294	SRS077231	SRS077194	SRS077127	SRS076929	SRS076876	SRS076756	SRS075984	SRS075878	SRS075773	SRS075341	SRS075078	SRS074964	SRS074670	SRS064973	SRS063518	SRS063489	SRS058070	SRS056273	SRS055533	SRS054352	SRS053649	SRS053573	SRS053356	SRS050026	SRS049896	SRS049402	SRS045739	SRS045528	SRS043667	SRS024663	SRS021219	SRS021153	SRS020622	SRS017916	SRS016438	SRS016437	SRS013639	SRS013638	SRS013098	SRS012969	SRS012849
g__Enterorhabdus	2|201174|84998|1643822|1643826|580024	0	0	0	0	0.00014	0.00118	0	0	0	0	0	0	0.00035	0	0.00477	5e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095	0	0	0	0	0.00027	0	0	0.00103	0	0	0	0	0.00028	0	0.00011	0	0	0.00058	0	0	0	0	0	0.00227	0	0	0	0	0.00153	0	0	0	0	0.00031	0	0.00073	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0	0.00209	0	0	0	0	0	0	0	0	0.00251	0.00061	0.00042	0.00038	0
g__Gordonibacter	2|201174|84998|1643822|1643826|644652	0.0119	0.00608	0.00722	0.01505	0.007	0.00508	0	0.00315	0	0.00025	0.00668	0	0.00254	0.03263	0.08413	0.00083	0.00145	0.01523	0.00363	0.00439	0	0.00575	0	0	0.006	0.00453	0.00199	0.0105	0.00031	0	0	0.00654	0	0.01436	0.0047	0	0.0044	0.0164	0.0332	0.00541	0	0.10439	0.02339	0.00528	0.00598	0.0173	0.00629	0.00066	0.01888	0.0054	0	0.02554	0.00076	0	0.00487	0.00786	0.02423	0.6857	0.00402	0.01731	0.00158	0.0131	0.06212	0	0.0129	0.00789	0.00371	0.08923	0.01602	0.00464	0.00482	0.00261	0	0.00058	0.00123	0.0119	0.03688	0.00303	0	0.00117	0	0	0.0046	0	0.01227	0	0.16467	0	0.00237	0.01249	0.01496	0.00035	0.13827	0.00077	0.00035	0.05871	0.03688	0.01443	0	0.00023
g__Slackia	2|201174|84998|1643822|1643826|84108	0.05647	0	0	0	0	0.79917	0	0	0.00041	0.03235	0	0	0	0	0	0.00711	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0	0	0	0.00889	0	0	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03418	0	0	0	0	0	0.0164	0	1.04128	0	0	0	0	0	0.00751	0	0	0	0	0	0	0	0	0	0.00044	0	0
g__Bacteroides	2|976|200643|171549|815|816	62.91178	56.9452	50.90475	48.87825	19.5211	29.72357	76.23824	65.13386	22.3385	70.87132	12.91524	11.88565	64.81785	12.46155	61.70902	33.67589	67.81424	78.14328	40.33159	72.78754	8.16129	48.71898	74.75619	92.5249	71.51311	72.27808	40.97233	0	55.01283	95.2464	69.20586	38.72942	33.63948	41.40299	57.61297	27.17969	61.209	48.84051	79.76122	66.81676	79.61477	42.89739	53.97315	81.83993	47.15379	55.13269	63.19415	76.60922	20.10551	67.61989	28.9307	27.83282	2.29077	71.0789	87.44827	57.24019	67.86554	26.14575	42.24671	55.21038	30.23515	61.61686	69.2548	88.95499	64.70624	42.58511	51.43207	41.12316	30.14105	59.77294	86.12799	79.43545	91.47742	29.67111	89.77534	37.3445	51.13364	89.55389	56.48063	67.53523	87.90038	17.57178	84.97361	17.59351	62.00938	74.62652	58.66328	25.43034	56.88999	85.29219	96.34793	83.59049	9.08945	92.69294	86.1815	32.39793	28.5254	22.29588	12.46884	24.5466
g__Barnesiella	2|976|200643|171549|2005519|397864	3.73366	0	0	1.08824	1.81202	0	0	4.95486	0	2.38427	0	0.68937	0	0	6.19646	4.43851	0	0	0	0	0.35296	0.97941	0.72184	0	0	0	0	0	0	0.0084	3.83222	8.778	1.64102	0	0	1.81511	0	0.00043	0	0	0	0	0	0	0	1.01583	0	0	2.97603	1.64594	0	0	0.75403	0	3.41873	0	0	4.61988	3.05093	1.10939	0	2.13097	0	0	1.1736	0	0	1.18514	6.31456	7.56578	0	0	0	0	0	0	3.4629	0	3.00982	2.20038	0	3.09743	0	0.23369	3.18057	0	0	0	0	0	0	1.37632	0.38655	0	0	0	0	0	0	9.31861
g__Coprobacter	2|976|200643|171549|2005519|1348911	0.42576	0	0	0.31289	1.52533	0	0	0.19368	0	0	0	1.426	0	0	0	0	0	0	0.96788	0	0	0.14995	0.0572	0	0	0	0	0	0.42994	0	0	0	0	0	0	0.135	0	0	0	0.58998	2.45789	0	0	0	0	0.20818	0	0.76525	0.1034	0	0	0	0.00933	0	0	0	0	0.06436	0	0.34372	0	2.33114	0	0	0.97987	0	0	0.01133	0.18903	0	0	0	0	0.17456	0.36803	0	0	0	0.24718	0	0	0.00321	0.50161	0.03186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13862
g__Butyricimonas	2|976|200643|171549|1853231|574697	0.04973	0	0.08841	0.54634	0.5068	0	0	0.10269	0.08602	0.80529	0.13744	0	0	0.13518	0	0.12119	1.21594	0	0.03248	0.64829	0	0.79719	0.0274	0	0	0.63806	0.1369	0	0	0	0.12089	0	0.01735	0	0	0.37626	0	0.48891	0	0.02615	0.20859	0	0	0	0.60756	0.42566	1.85398	0	0.12307	0.02959	0.06079	0	0	0.22446	0	0	0	0.06065	0.14691	0.3872	0	0	0	0	0.04283	0.15383	0	0.05481	0.36533	2.36966	0	0	0	0	0	0.68256	1.31171	0	0.11911	0.61799	0	0.06693	0	0.34576	0	0	0	0	0	0	0	0	0.12477	0	0	8e-05	0	2.34147	0.01752	0.74892
g__Odoribacter	2|976|200643|171549|1853231|283168	1.72412	0.80871	0	0.77764	3.39483	1.98195	0.51401	1.00102	0.86161	0.57327	0.51908	3.85001	0.85834	0.38191	0.80889	0.48064	0	1.58486	1.88303	0	0.26619	0.53072	0.12923	0	0	0.53565	0	0	0.90638	0.00079	2.41947	2.00627	0.50689	0	1.64062	0.56612	1.96826	0.74538	1.99128	1.54771	2.84993	0	0.6354	1.70886	0.67256	0.49539	0	1.68565	1.95439	1.00569	3.32016	3.20491	0.63157	0.61571	0.64548	1.96708	0	2.32882	1.69009	1.39853	0.52555	1.95892	2.02225	0	0.99562	0	0	1.31319	0	0.80031	0	0	0	0.37805	0	0	0.61118	0	1.30344	0.37073	0	1.43157	0.82067	0.1216	1.88066	0	1.36232	0	0	1.53258	0	0.13709	0.3248	0.07015	0.07037	0.52584	0.44576	1.26591	1.53168	4.84076
g__Porphyromonas	2|976|200643|171549|171551|836	0	0	0	0	0.01647	0	0	0	0	0	0	0.00744	0.03383	0	0	0	0	0	0	0.03911	0.01119	0	0	0	0.00213	0	0	0.00922	0	0.00355	0	0.00093	0	0.00166	0	0	0	0	0	0	0	0.56884	0	0	0	0	0	0	0	0	0	0.00047	0	0	0	0	0	0	0	0	0	0.00557	0	0	0	0	0	0	0	0	0	0	0	0.00049	0	0	0	0	0	0	0	0	0	0.00052	0.07824	0	0.00098	0	0	0	0	0	0	0	0	0.00028	0	0.00028	0	0
g__Sanguibacteroides	2|976|200643|171549|171551|1635148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0.02479	0	0	0	0	0	0	0
