clade_name	NCBI_tax_id	SRS149878	SRS149783	SRS149665	SRS149594	SRS149343	SRS149093	SRS148835	SRS148529	SRS148459	SRS148423	SRS148318	SRS148214	SRS148147	SRS147880	SRS147727	SRS147661	SRS147556	SRS147433	SRS147290	SRS147175	SRS146924	SRS146849	SRS145518	SRS144774	SRS144639	SRS144219	SRS143894	SRS143778	SRS143596	SRS143465	SRS143378	SRS143340	SRS143247	SRS143016	SRS142959	SRS142710	SRS142560	SRS142521	SRS142501	SRS140666	SRS140534	SRS105169	SRS104701	SRS104644	SRS104501	SRS104416	SRS104309	SRS104195	SRS104102	SRS103964	SRS103938	SRS102823	SRS101454	SRS098842	SRS098815	SRS098642	SRS098587	SRS098530	SRS098081	SRS098039	SRS097887	SRS078686	SRS078263	SRS078241	SRS078197	SRS077793	SRS077751	SRS077649	SRS077400	SRS077343	SRS077210	SRS077032	SRS076945	SRS076812	SRS075983	SRS075979	SRS075886	SRS075829	SRS075463	SRS075419	SRS074663	SRS065347	SRS064704	SRS064666	SRS064568	SRS064376	SRS064263	SRS064225	SRS063804	SRS063417	SRS062520	SRS062512	SRS057894	SRS057807	SRS057344	SRS056796	SRS056695	SRS056623	SRS056483	SRS056156	SRS055298	SRS055018	SRS054962	SRS053741	SRS052859	SRS052756	SRS052620	SRS052330	SRS051637	SRS051548	SRS051505	SRS050184	SRS049541	SRS049390	SRS049340	SRS049237	SRS048536	SRS047335	SRS047140	SRS046034	SRS044902	SRS044742	SRS042858	SRS042625	SRS042428	SRS024428	SRS024310	SRS024068	SRS023850	SRS023468	SRS023466	SRS022734	SRS022545	SRS022158	SRS022092	SRS021969	SRS020349	SRS019989	SRS019807	SRS019600	SRS019485	SRS019379	SRS019285	SRS019245	SRS018769	SRS018535	SRS018488	SRS017700	SRS017520	SRS017497	SRS016692	SRS016584	SRS016559	SRS016516	SRS016191	SRS016111	SRS015702	SRS015587	SRS015481	SRS015425	SRS015225	SRS015168	SRS015148	SRS015073	SRS015054	SRS014801	SRS014744	SRS014629	SRS014523	SRS014494	SRS014415	SRS014343	SRS013973	SRS013542	SRS012934	SRS012294	SRS011584	SRS011355	SRS011269	SRS011111
g__Campylobacter	2|1224|29547|213849|72294|194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88148	0	0	0	0.09726	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0	0	0	0.00615	0.00758	0	2.73802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86842	0	0	0	0	0	0	0	0	0	0.4841	0	0	0	0	0	0	0	0	0	0.0049	0	0	0	0	0	0	0	0	0	0	0	0	0.16748	0	0	0	0	0	0	0	9e-05	0	0	0	0	0	0	0	0	0.1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661	0	0	0	0.00346	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0.00911	0
g__Helicobacter	2|1224|29547|213849|72293|209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cardiobacterium	2|1224|1236|135615|868|2717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Escherichia	2|1224|1236|91347|543|561	0	0	0.83439	0.05346	0	0	0	0.10701	0	0	0	0.08575	0.35873	0	0	0	0	0.08412	0.11019	0.00801	0.24582	0.49678	0	0	0.16855	5.50464	0	0.02889	1.25277	0	0	13.99614	0	8.34693	0	0	0	0.05405	0	0	0	0.27253	0	0	0	2.05712	0.35494	0.01602	0	0.01735	0	0	0	0	0	0.04574	0	0	0	0	0.05998	0	0	0	0	0	0	0	0	0.03999	0	0	8.01095	0	0	0.02122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0.00662	0.02844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01451	0.0197	0	0	0	0	0	0	0	0.00615	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aggregatibacter	2|1224|1236|135625|712|416916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Haemophilus	2|1224|1236|135625|712|724	0	0.03638	0	0.01504	0	0.02118	0.05077	0.20898	0	0	0	0	0	0	0	0	0	0.11512	0.82617	0	0	0	0.01654	0	0	0	0	0	0	0.07782	0.10664	0	0.54554	0	0	0	0.24448	0	0	2.73632	5.50581	0	0.26919	0.32823	0.54869	0	0	0	0	0.00723	0	0.02275	0	0	0	0	0	0	0	0	0	0	0.3154	0	1.03787	0	0	0	0	0.03725	0	0.39265	0	0.04411	0.02701	0	0.00118	0	0	0	0	0	0	0.0457	1.73962	0	0	0	2.56789	0	0	0	0	0	0.0011	0.0005	0	0.01851	0.17414	0	0	0.02143	0	0.06582	0.01151	0	0	0	0.07124	0.06539	0	0	0	0.5104	0	0	0	0	0	0	0	0	0	0	0	0	0.00123	0	0	0	0.0127	0	0	0	0	0	0	0	1.03138	0	0	0	0.04674	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03459	0.42495	0	0	0	0	0	0	0	0	0.15039	0	0.11269	0	0.1355	0	0.0462	0	0.2988	0	0	0	0	0
g__Acinetobacter	2|1224|1236|72274|468|469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03312	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Moraxella	2|1224|1236|72274|468|475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01367	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pseudomonas	2|1224|1236|72274|135621|286	0.00139	0	0	0	0	0.04206	0	0	0	0.05368	0.03139	0	0	0.01886	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04212	0	0	0	1.23745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01683	0.13113	0.03141	0.04349	0	0.0319	0.36583	0	0.43676	0	0.1797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Xanthomonadaceae_unclassified	2|1224|1236|135614|32033|	0	0	0	0	0	0	0	0	0	0	0.0085	0	0	0.06537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Treponema	2|203691|203692|136|137|157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mycoplasma	2|544448|31969|2085|2092|2093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.36195	2.87094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0628
g__Ureaplasma	2|544448|31969|2085|2092|2129	0	0	0.20955	0	0.66357	0	1.77997	0	0	0	0.02017	1.75767	0.01845	0	0.22125	0	0	0	0	0	1.04159	0.74263	0	0	0.2021	0	0.16361	0	0	0	0	0.37579	1.181	0	0	0.14179	0.51138	0	0	0	0	0	0	0	0	0.69969	0	0.31221	0	0	0	0	0.04538	0	0	0	0	0	0.40654	2.03859	0	0	0	1.93613	0.08619	0	0	0	0	0	0.45525	0.05699	0	0	0.50024	0	0	0	0	0	0	0.13676	0	0	0	0	0	0	0	0	0	1.49897	0.05128	0	0	0	0	0	0.67375	0	3.11802	0	0	0	0.00094	0.41794	0	0	0	0	0.0139	0.04467	0	0	0	3.44355	1.2543	0.03338	0	1.31155	0	0.63422	0	0	0	4.89376	0	0	0	0.04976	0.02108	0	0	1.02419	0	0	0	0.105	0	0	0	0	0.1381	1.29042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08509	0.34376	0	0.7494	0	0	0	0	0	0.02385	0	0	0.16994	0	0	0	0	0	0.00608
g__Akkermansia	2|74201|203494|48461|1647988|239934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1173	0	0	0	0.20243	0	0	0	0	0	0	0	0.01028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candida	2759|4890|4891|4892|766764|1535326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16266	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98798	0	0	0	0.3745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Malassezia	2759|5204|1538075|162474|742845|55193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00652	0	0	0	0	0	0	0	0	0	0	0.085	0	0	0.00311	0	0	0	0	0.00677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
