"NRPS-like,T1PKS,NRPS,lanthipeptide-class-ii"	Others
"NRPS,RaS-RiPP"	Others
"RRE-containing,lanthipeptide-class-i"	RiPPs
"RRE-containing,RaS-RiPP,furan"	Others
"lassopeptide,ranthipeptide"	RiPPs
"T3PKS,lanthipeptide-class-ii"	Others
"RRE-containing,lanthipeptide-class-iii"	RiPPs
"LAP,RiPP-like"	RiPPs
"RaS-RiPP,furan"	Others
"NRPS-like,RiPP-like"	Others
"furan,RRE-containing"	Others
"lanthipeptide-class-iii,NRPS"	Others
"RaS-RiPP,T3PKS"	Others
"T3PKS,RaS-RiPP"	Others
"lanthipeptide-class-i,RaS-RiPP"	RiPPs
"lanthipeptide-class-iv,arylpolyene"	Others
glycocin	RiPPs
"lanthipeptide-class-ii,NRPS"	Others
"LAP,cyclic-lactone-autoinducer"	RiPPs
"RRE-containing,lanthipeptide-class-ii"	RiPPs
"betalactone,NRPS"	Others
"lanthipeptide-class-ii,T3PKS"	Others
"RRE-containing,betalactone"	Others
"terpene,RiPP-like"	Others
"thiopeptide,LAP,RaS-RiPP"	RiPPs
"arylpolyene,RRE-containing"	Others
"RiPP-like,RRE-containing"	RiPPs
"RaS-RiPP,lanthipeptide-class-ii"	RiPPs
"NRPS-like,NRPS,T1PKS"	PKS/NRPS Hybrids
"NRPS,ranthipeptide"	Others
"thiopeptide,RRE-containing"	RiPPs
"LAP,furan"	Others
"transAT-PKS-like,NRPS"	Others
"lanthipeptide-class-iv,RRE-containing"	RiPPs
"lassopeptide,lanthipeptide-class-iii"	RiPPs
"ranthipeptide,RiPP-like"	RiPPs
"NRPS,transAT-PKS-like"	Others
"T1PKS,RiPP-like"	Others
"lanthipeptide-class-i,lanthipeptide-class-iii"	RiPPs
transAT-PKS	PKS
