BGC	cluster_0.2	cluster_0.8
513	122	13
514	938	65
515	231	13
516	981	29
517	1015	12
518	2333	30
519	30	4
520	42	48
521	272	13
522	1337	65
523	58	24
524	69	13
525	58	24
526	1337	65
527	69	13
528	174	13
529	171	4
530	1200	48
531	210	4
532	170	13
533	1680	20
534	2150	29
535	230	29
536	281	4
537	958	11
538	170	13
539	618	48
540	227	4
541	1914	47
542	954	19
543	152	76
544	1228	13
545	155	4
546	74	13
547	383	13
548	193	29
549	811	4
550	346	13
551	1200	48
552	708	13
553	2132	30
554	83	4
555	122	13
556	347	50
557	132	11
558	997	4
559	253	4
560	1607	13
561	363	13
562	621	4
563	310	48
564	1097	13
565	171	4
566	144	30
567	174	13
568	42	48
569	1200	48
570	460	13
571	672	13
572	122	13
573	38	50
574	310	48
575	29	13
576	171	4
577	178	110
578	347	50
579	42	48
580	174	13
581	171	4
582	29	13
583	310	48
584	42	48
585	174	13
586	171	4
587	146	13
588	91	48
589	174	13
590	310	48
591	347	50
592	171	4
593	335	13
594	310	48
595	174	13
596	171	4
597	1097	13
598	42	48
599	174	13
600	310	48
601	1097	13
602	144	30
603	171	4
604	361	8
605	356	2
606	58	24
607	23	47
608	152	76
609	170	13
611	1347	47
612	227	4
613	152	76
614	1563	18
615	1865	13
616	175	4
617	175	4
618	151	19
619	1914	47
620	152	76
621	1347	47
622	227	4
623	152	76
624	1563	18
625	227	4
626	1418	13
627	1563	18
628	152	76
629	618	48
630	152	76
631	1865	13
632	151	19
633	175	4
634	1200	48
635	146	13
636	29	13
637	122	13
638	91	48
639	171	4
640	310	48
641	242	27
642	1200	48
643	146	13
644	29	13
645	45	4
646	122	13
647	91	48
648	310	48
649	242	27
650	146	13
651	310	48
652	29	13
653	91	48
654	171	4
655	174	13
656	42	48
657	242	27
658	53	13
659	146	13
660	310	48
661	171	4
662	29	13
663	91	48
664	174	13
665	42	48
666	242	27
667	96	13
668	146	13
669	310	48
670	29	13
671	91	48
672	122	13
673	42	48
674	242	27
675	171	4
676	83	4
677	144	30
678	468	13
679	146	13
680	310	48
681	91	48
682	29	13
683	111	13
684	1200	48
685	2534	13
686	83	4
687	310	48
688	146	13
689	144	30
690	91	48
691	29	13
692	1200	48
693	468	13
694	122	13
695	152	76
696	954	19
697	175	4
698	1914	47
699	618	48
700	458	4
701	295	21
702	673	13
703	52	13
704	2018	4
705	29	13
706	708	13
707	91	48
708	122	13
709	189	13
710	122	13
711	708	13
712	91	48
713	83	4
714	1200	48
715	152	76
716	2676	47
717	227	4
718	1914	47
719	196	47
720	170	13
721	1015	12
722	691	4
723	152	76
724	1263	19
725	227	4
726	231	13
727	565	13
728	122	13
729	43	89
730	337	0
731	122	13
732	29	13
733	242	27
734	42	48
735	91	48
736	171	4
737	146	13
738	310	48
739	1852	24
740	227	4
741	152	76
743	709	37
744	690	30
745	250	30
746	363	13
747	473	4
748	2060	13
749	473	4
750	1136	50
751	542	4
752	1811	0
753	877	30
754	2569	0
755	877	30
756	877	30
757	877	30
758	245	11
759	114	4
760	1746	10
761	1322	13
762	61	11
763	170	13
764	900	13
765	1076	29
766	412	13
767	1303	4
768	548	13
769	98	13
770	1854	21
771	2060	13
772	458	4
773	2	26
774	1200	48
775	1097	13
776	45	4
777	174	13
778	91	48
779	83	4
780	42	48
781	174	13
782	1097	13
783	91	48
784	171	4
785	825	50
786	29	13
787	42	48
788	174	13
789	171	4
790	91	48
791	1416	13
792	366	48
793	174	13
794	310	48
795	91	48
796	1097	13
797	171	4
798	42	48
799	174	13
800	144	30
801	29	13
802	171	4
803	91	48
804	38	50
805	174	13
806	948	29
807	457	0
808	1138	42
809	365	33
810	197	33
811	76	13
812	193	29
813	515	4
814	269	0
815	1230	4
816	210	4
817	2478	13
818	174	13
819	171	4
820	526	23
821	872	4
822	669	27
823	621	4
824	748	33
825	997	4
826	669	27
827	885	110
828	74	13
829	147	13
830	385	48
831	170	13
832	587	4
833	458	4
834	2097	33
835	616	48
836	412	13
837	52	13
838	171	4
839	174	13
840	587	4
841	669	27
842	171	4
843	170	13
844	2079	6
845	171	4
846	42	48
847	174	13
848	701	74
849	471	33
850	244	33
851	38	50
852	1246	50
853	29	13
854	171	4
855	77	74
856	1295	48
857	672	13
858	377	13
859	1341	4
860	2431	48
861	497	0
862	193	29
863	548	13
864	2728	15
865	48	47
866	848	4
867	1144	13
868	98	13
869	1336	4
870	932	11
871	1057	54
872	167	13
873	608	11
874	79	4
875	2165	29
876	262	4
877	277	4
878	54	13
879	458	4
880	679	4
881	277	4
882	277	4
883	690	30
884	331	2
885	1308	4
886	11	13
887	877	30
888	1568	110
889	877	30
890	250	30
891	690	30
892	364	0
893	277	4
894	766	45
895	2470	30
896	277	4
897	277	4
898	277	4
899	1383	33
900	2588	22
901	201	9
902	362	27
903	560	33
904	610	4
905	33	33
906	540	4
907	541	4
908	195	32
909	195	32
910	277	4
911	277	4
912	766	45
913	277	4
914	2086	0
915	372	27
916	679	4
917	277	4
918	1439	33
919	356	2
920	132	11
921	997	4
922	174	13
923	42	48
924	29	13
925	91	48
926	171	4
927	1192	74
928	281	4
929	241	11
930	1372	110
931	588	4
932	1354	13
933	429	29
934	688	110
935	310	48
936	42	48
937	146	13
938	122	13
939	2534	13
940	83	4
941	242	27
942	146	13
943	1200	48
944	2534	13
945	122	13
946	1200	48
947	346	13
948	83	4
949	83	4
950	146	13
951	346	13
952	122	13
953	2534	13
954	1200	48
955	1200	48
956	242	27
957	708	13
958	310	48
959	688	110
960	468	13
961	122	13
962	83	4
963	2534	13
964	877	30
965	1568	110
966	766	45
967	621	4
968	1834	30
969	823	13
970	170	13
971	924	74
972	670	33
973	1710	60
974	43	89
975	2471	110
976	1102	30
977	680	13
978	595	29
979	170	13
980	761	13
981	58	24
982	2336	26
983	1085	110
984	174	13
985	42	48
986	242	27
987	29	13
988	91	48
989	171	4
990	310	48
991	174	13
992	652	13
993	1416	13
994	91	48
995	171	4
996	310	48
997	174	13
998	1268	29
999	29	13
1000	91	48
1001	144	30
1002	171	4
1003	38	50
1004	171	4
1005	174	13
1006	42	48
1007	29	13
1008	91	48
1009	174	13
1010	652	13
1011	1416	13
1012	91	48
1013	171	4
1014	310	48
1015	174	13
1016	366	48
1017	1416	13
1018	91	48
1019	171	4
1020	310	48
1021	144	30
1022	171	4
1023	38	50
1024	174	13
1025	1268	29
1026	29	13
1027	91	48
1028	164	4
1029	525	65
1030	310	48
1031	171	4
1032	174	13
1033	1097	13
1034	91	48
1035	1989	11
1036	277	4
1037	277	4
1038	679	4
1039	277	4
1040	700	4
1041	2172	29
1042	2478	13
1043	990	11
1044	450	30
1045	2578	30
1046	171	4
1047	9	4
1048	122	13
1049	662	4
1050	452	89
1051	2354	4
1052	761	13
1053	595	29
1054	122	13
1055	1206	13
1056	346	13
1057	244	33
1058	680	13
1059	1710	60
1060	1654	74
1061	897	4
1062	1707	90
1063	170	13
1064	354	4
1065	76	13
1066	42	48
1067	527	4
1068	122	13
1069	76	13
1070	700	4
1071	527	4
1072	122	13
1073	277	4
1074	846	11
1075	277	4
1076	656	4
1077	672	13
1078	1200	48
1079	91	48
1080	822	3
1081	710	50
1082	435	82
1083	123	46
1084	29	13
1085	30	4
1086	310	48
1087	42	48
1088	272	13
1089	30	4
1090	209	48
1091	210	4
1092	385	48
1093	587	4
1094	170	13
1095	377	13
1096	29	13
1097	2060	13
1098	122	13
1099	171	4
1100	174	13
1101	171	4
1102	840	48
1103	2354	4
1104	2067	23
1105	263	4
1106	169	2
1107	212	30
1108	140	110
1109	458	4
1110	616	48
1111	295	21
1112	166	110
1113	52	13
1114	218	4
1115	1197	89
1116	109	13
1117	237	4
1118	53	13
1119	768	4
1120	346	13
1121	900	13
1122	122	13
1123	397	110
1124	170	13
1125	768	4
1126	900	13
1127	1322	13
1128	397	110
1129	170	13
1130	711	13
1131	170	13
1132	1322	13
1133	122	13
1134	900	13
1135	2425	13
1136	1349	4
1137	170	13
1138	397	110
1139	1322	13
1140	900	13
1141	1349	4
1142	170	13
1143	397	110
1144	122	13
1145	548	13
1146	1322	13
1147	122	13
1148	170	13
1149	900	13
1150	1414	4
1151	397	110
1152	256	13
1153	1414	4
1154	170	13
1155	1322	13
1156	397	110
1157	711	13
1158	768	4
1159	122	13
1160	677	110
1161	1322	13
1162	170	13
1163	98	13
1164	122	13
1165	170	13
1166	1349	4
1167	397	110
1168	1322	13
1169	839	13
1170	346	13
1171	1349	4
1172	147	13
1173	122	13
1174	397	110
1175	548	13
1176	170	13
1177	1294	29
1178	1322	13
1179	122	13
1180	17	4
1181	147	13
1182	711	13
1183	768	4
1184	122	13
1185	147	13
1186	1322	13
1187	768	4
1188	900	13
1189	548	13
1190	122	13
1191	397	110
1192	548	13
1193	256	13
1194	170	13
1195	1322	13
1196	17	4
1197	397	110
1198	1322	13
1199	900	13
1200	1349	4
1201	122	13
1202	397	110
1203	170	13
1204	122	13
1205	711	13
1206	768	4
1207	170	13
1208	1913	110
1209	1322	13
1210	548	13
1211	122	13
1212	900	13
1213	346	13
1214	170	13
1215	17	4
1216	397	110
1217	122	13
1218	1322	13
1219	1349	4
1220	854	74
1221	170	13
