BGC	cluster_0.2	cluster_0.8
8313	748	33
8314	237	4
8315	748	33
8316	493	27
8317	237	4
8318	748	33
8319	237	4
8320	2132	30
8321	146	13
8322	45	4
8323	122	13
8324	347	50
8325	1228	13
8326	621	4
8327	621	4
8328	237	4
8329	748	33
8330	582	110
8331	293	33
8332	621	4
8333	621	4
8334	293	33
8335	748	33
8336	237	4
8337	621	4
8338	304	26
8339	237	4
8340	748	33
8341	1402	4
8342	296	33
8343	237	4
8344	171	4
8345	144	30
8346	310	48
8347	1097	13
8348	672	13
8349	468	13
8350	1200	48
8351	576	48
8352	621	4
8353	293	33
8354	1377	27
8355	748	33
8356	493	27
8357	237	4
8358	136	29
8359	155	4
8360	576	48
8361	53	13
8362	621	4
8363	601	26
8364	1228	13
8365	155	4
8366	194	48
8367	669	27
8368	1228	13
8369	155	4
8370	237	4
8371	748	33
8372	748	33
8373	237	4
8374	1893	55
8375	748	33
8376	237	4
8377	493	27
8378	748	33
8379	237	4
8380	1893	55
8381	237	4
8382	748	33
8383	1200	48
8384	621	4
8385	293	33
8386	1104	102
8387	946	13
8388	748	33
8389	343	29
8390	237	4
8391	621	4
8392	621	4
8393	669	27
8394	1228	13
8395	621	4
8396	621	4
8397	237	4
8398	748	33
8399	237	4
8400	748	33
8401	672	13
8402	347	50
8403	310	48
8404	122	13
8405	45	4
8406	42	48
8407	335	13
8408	548	13
8409	1402	4
8410	493	27
8411	748	33
8412	237	4
8413	621	4
8414	601	26
8415	82	33
8416	671	4
8417	1228	13
8418	621	4
8419	237	4
8420	748	33
8421	946	13
8422	1200	48
8423	621	4
8424	1104	102
8425	293	33
8426	293	33
8427	748	33
8428	677	110
8429	621	4
8430	576	48
8431	53	13
8432	251	4
8433	1228	13
8434	548	13
8435	1402	4
8436	293	33
8437	748	33
8438	621	4
8439	576	48
8440	621	4
8441	283	48
8442	2742	13
8443	293	33
8444	1228	13
8445	304	26
8446	621	4
8447	1954	27
8448	621	4
8449	548	13
8450	621	4
8451	621	4
8452	621	4
8453	293	33
8454	576	48
8455	748	33
8456	748	33
8457	237	4
8458	621	4
8459	669	27
8460	1228	13
8461	621	4
8462	237	4
8463	748	33
8464	237	4
8465	748	33
8466	493	27
8467	343	29
8468	748	33
8469	237	4
8470	548	13
8471	1228	13
8472	1402	4
8473	621	4
8474	237	4
8475	748	33
8476	237	4
8477	748	33
8478	621	4
8479	543	26
8480	1220	49
8481	1228	13
8482	76	13
8483	1200	48
8484	155	4
8485	2690	33
8486	293	33
8487	621	4
8488	621	4
8489	194	48
8490	677	110
8491	1220	49
8492	146	13
8493	621	4
8494	548	13
8495	171	4
8496	335	13
8497	1313	81
8498	310	48
8499	672	13
8500	42	48
8501	91	48
8502	468	13
8503	493	27
8504	1228	13
8505	621	4
8506	748	33
8507	237	4
8508	621	4
8509	166	110
8510	621	4
8511	1228	13
8512	45	4
8513	335	13
8514	38	50
8515	122	13
8516	242	27
8517	468	13
8518	1200	48
8519	2534	13
8520	576	48
8521	293	33
8522	621	4
8523	669	27
8524	621	4
8525	548	13
8526	748	33
8527	237	4
8528	621	4
8529	74	13
8530	237	4
8531	748	33
8532	621	4
8533	748	33
8534	293	33
8535	576	48
8536	493	27
8537	237	4
8538	748	33
8539	166	110
8540	621	4
8541	91	48
8542	144	30
8543	30	4
8544	146	13
8545	310	48
8546	672	13
8547	29	13
8548	468	13
8549	1200	48
8550	621	4
8551	621	4
8552	74	13
8553	576	48
8554	104	110
8555	283	48
8556	601	26
8557	265	13
8558	621	4
8559	310	48
8560	122	13
8561	42	48
8562	242	27
8563	146	13
8564	83	4
8565	346	13
8566	748	33
8567	237	4
8568	1893	55
8569	493	27
8570	748	33
8571	237	4
8572	748	33
8573	293	33
8574	53	13
8575	576	48
8576	237	4
8577	621	4
8578	194	48
8579	601	26
8580	1228	13
8581	155	4
8582	748	33
8583	237	4
8584	748	33
8585	237	4
8586	621	4
8587	1402	4
8588	748	33
8589	237	4
8590	748	33
8591	343	29
8592	237	4
8593	237	4
8594	748	33
8595	192	13
8596	429	29
8597	122	13
8598	53	13
8599	227	4
8600	1865	13
8601	279	47
8602	152	76
8603	954	19
8604	592	4
8605	816	110
8606	947	2
8607	1492	41
8608	53	13
8609	195	32
8610	195	32
8611	195	32
8612	2639	33
8613	76	13
8614	418	13
8615	679	4
8616	171	4
8617	91	48
8618	29	13
8619	272	13
8620	277	4
8621	418	13
8622	30	4
8623	272	13
8624	122	13
8625	1200	48
8626	171	4
8627	204	13
8628	122	13
8629	527	4
8630	272	13
8631	30	4
8632	491	0
8633	171	4
8634	122	13
8635	204	13
8636	385	48
8637	171	4
8638	272	13
8639	19	33
8640	171	4
8641	414	4
8642	272	13
8643	171	4
8644	1619	74
8645	52	13
8646	458	4
8647	295	21
8648	587	4
8649	1995	33
8650	1688	33
8651	587	4
8652	52	13
8653	458	4
8654	616	48
8655	295	21
8656	548	13
8657	277	4
8658	418	13
8659	623	4
8660	1459	33
8661	278	11
8662	338	4
8663	592	4
8664	947	2
8665	179	41
8666	1315	62
8667	1262	102
8668	58	24
8669	1337	65
8670	124	110
8671	2060	13
8672	654	22
8673	574	22
8674	33	33
8675	184	4
8676	201	9
8677	418	13
8678	277	4
8679	2549	84
8680	2391	29
8681	669	27
8682	2807	33
8683	2261	4
8684	669	27
8685	1660	27
8686	146	13
8687	193	29
8688	750	47
8689	768	4
8690	97	13
8691	750	47
8692	193	29
8693	109	13
8694	90	4
8695	240	27
8696	170	13
8697	457	0
8698	1138	42
8699	365	33
8700	197	33
8701	76	13
8702	1098	33
8703	647	17
8704	1207	32
8705	170	13
8706	521	4
8707	170	13
8708	521	4
8709	170	13
8710	521	4
8711	170	13
8712	521	4
8713	1207	32
8714	647	17
8715	1207	32
8716	521	4
8717	647	17
8718	170	13
8719	521	4
8720	170	13
8721	521	4
8722	170	13
8723	521	4
8724	170	13
8725	521	4
8726	170	13
8727	521	4
8728	1367	74
8729	2020	33
8730	152	76
8731	151	19
8732	175	4
8733	170	13
8734	1914	47
8735	618	48
8736	152	76
8737	1914	47
8738	151	19
8739	175	4
8740	1337	65
8741	601	26
8742	621	4
8743	748	33
8744	201	9
8745	257	22
8746	184	4
8747	315	33
8748	182	22
8749	562	22
8750	66	22
8751	548	13
8752	2268	13
8753	562	22
8754	29	13
8755	122	13
8756	189	13
8757	1200	48
8758	91	48
8759	171	4
8760	91	48
8761	171	4
8762	29	13
8763	42	48
8764	174	13
8765	53	13
8766	67	4
8767	665	2
8768	122	13
8769	2462	41
8770	592	4
8771	592	4
8772	893	0
8773	122	13
8774	179	41
8775	947	2
8776	938	65
8777	218	4
8778	2354	4
8779	134	13
8780	840	48
8781	2354	4
8782	122	13
8783	592	4
8784	947	2
8785	179	41
8786	217	9
8787	997	4
8788	132	11
8789	132	11
8790	997	4
8791	997	4
8792	132	11
8793	9	4
8794	2333	30
8795	1047	12
8796	1047	12
8797	2333	30
8798	2333	30
8799	132	11
8800	997	4
8801	997	4
8802	132	11
8803	132	11
8804	997	4
8805	132	11
8806	997	4
8807	14	4
8808	132	11
8809	132	11
8810	997	4
8811	997	4
8812	132	11
8813	132	11
8814	997	4
8815	132	11
8816	997	4
8817	132	11
8818	997	4
8819	132	11
8820	997	4
8821	132	11
8822	997	4
8823	132	11
8824	997	4
8825	132	11
8826	997	4
8827	997	4
8828	132	11
8829	997	4
8830	132	11
8831	132	11
8832	997	4
8833	132	11
8834	997	4
8835	997	4
8836	132	11
8837	132	11
8838	997	4
8839	132	11
8840	997	4
8841	132	11
8842	997	4
8843	132	11
8844	997	4
8845	997	4
8846	132	11
8847	132	11
8848	997	4
8849	997	4
8850	132	11
8851	997	4
8852	132	11
8853	997	4
8854	132	11
8855	997	4
8856	132	11
8857	132	11
8858	997	4
8859	997	4
8860	132	11
8861	132	11
8862	997	4
8863	132	11
8864	997	4
8865	132	11
8866	997	4
8867	132	11
8868	997	4
8869	997	4
8870	132	11
8871	132	11
8872	997	4
8873	132	11
8874	997	4
8875	132	11
8876	997	4
8877	14	4
8878	132	11
8879	997	4
8880	132	11
8881	132	11
8882	997	4
8883	997	4
8884	132	11
8885	997	4
8886	132	11
8887	132	11
8888	997	4
8889	997	4
8890	132	11
8891	132	11
8892	997	4
8893	132	11
8894	997	4
8895	132	11
8896	997	4
8897	132	11
8898	997	4
8899	132	11
8900	997	4
8901	997	4
8902	132	11
8903	132	11
8904	997	4
8905	132	11
8906	997	4
8907	997	4
8908	132	11
8909	997	4
8910	132	11
8911	132	11
8912	997	4
8913	997	4
8914	132	11
8915	132	11
8916	997	4
8917	132	11
8918	997	4
8919	997	4
8920	132	11
8921	997	4
8922	132	11
8923	132	11
8924	997	4
8925	997	4
8926	132	11
8927	132	11
8928	997	4
8929	997	4
8930	132	11
8931	997	4
8932	132	11
8933	997	4
8934	132	11
8935	132	11
8936	997	4
8937	997	4
8938	132	11
8939	997	4
8940	132	11
8941	997	4
8942	132	11
8943	997	4
8944	132	11
8945	997	4
8946	132	11
8947	997	4
8948	132	11
8949	132	11
8950	997	4
8951	997	4
8952	132	11
8953	997	4
8954	132	11
8955	997	4
8956	132	11
8957	132	11
8958	997	4
8959	997	4
8960	132	11
8961	132	11
8962	997	4
8963	997	4
8964	132	11
8965	997	4
8966	132	11
8967	56	24
8968	566	13
8969	1865	13
8970	152	76
8971	618	48
8972	227	4
8973	1263	19
8974	56	24
8975	1865	13
8976	151	19
8977	618	48
8978	152	76
8979	227	4
8980	1418	13
8981	124	110
8982	528	0
8983	1262	102
8984	2434	24
8985	124	110
8986	152	76
8987	1865	13
8988	1418	13
8989	227	4
8990	618	48
8991	151	19
8992	1914	47
8993	1418	13
8994	151	19
8995	152	76
8996	175	4
8997	618	48
8998	58	24
8999	1337	65
9000	1262	102
9001	152	76
9002	1914	47
9003	151	19
9004	175	4
9005	58	24
9006	1498	110
9007	1498	110
9008	58	24
9009	58	24
9010	389	13
9011	56	24
9012	2389	14
9013	58	24
9014	1262	102
9015	124	110
9016	58	24
9017	124	110
9018	1262	102
9019	58	24
9020	1262	102
9021	58	24
9022	1262	102
9023	56	24
9024	1263	19
9025	618	48
9026	1914	47
9027	530	76
9028	227	4
9029	124	110
9030	1914	47
9031	1263	19
9032	152	76
9033	227	4
9034	1914	47
9035	618	48
9036	227	4
9037	151	19
9038	152	76
9039	124	110
9040	758	26
9041	1262	102
9042	58	24
9043	1337	65
9044	1498	110
9045	124	110
9046	58	24
9047	124	110
9048	1337	65
9049	758	26
9050	152	76
9051	151	19
9052	227	4
9053	170	13
9054	1914	47
9055	2336	26
9056	1498	110
9057	124	110
9058	389	13
9059	1224	24
9060	1914	47
9061	227	4
9062	152	76
9063	170	13
9064	1263	19
9065	56	24
9066	389	13
9067	1418	13
9068	152	76
9069	170	13
9070	1914	47
9071	151	19
9072	227	4
9073	151	19
9074	152	76
9075	1914	47
9076	170	13
9077	227	4
9078	124	110
9079	389	13
9080	124	110
9081	1418	13
9082	1914	47
9083	152	76
9084	151	19
9085	170	13
9086	227	4
9087	152	76
9088	227	4
9089	1914	47
9090	1263	19
9091	124	110
9092	618	48
9093	152	76
9094	151	19
9095	1914	47
9096	227	4
9097	352	4
9098	137	2
9099	53	13
9100	53	13
9101	2060	13
9102	53	13
9103	823	13
9104	419	13
9105	1055	29
9106	67	4
9107	53	13
9108	676	15
9109	662	4
9110	245	11
9111	67	4
9112	53	13
9113	53	13
9114	67	4
9115	53	13
9116	53	13
9117	1120	4
9118	122	13
9119	170	13
9120	109	13
9121	2310	47
9122	1795	7
9123	13	4
9124	53	13
9125	13	4
9126	53	13
9127	53	13
9128	13	4
9129	13	4
9130	53	13
9131	9	4
9132	53	13
9133	67	4
9134	67	4
9135	53	13
9136	13	4
9137	122	13
9138	53	13
9139	13	4
9140	53	13
9141	53	13
9142	13	4
9143	67	4
9144	823	13
9145	458	4
9146	2060	13
9147	54	13
9148	553	0
9149	94	33
9150	52	13
9151	2060	13
9152	846	11
9153	670	33
9154	2060	13
9155	964	110
9156	63	4
9157	2218	9
9158	1746	10
9159	202	13
9160	853	15
9161	608	11
9162	471	33
9163	310	48
9164	171	4
9165	170	13
9166	122	13
9167	30	4
9168	30	4
9169	272	13
9170	174	13
9171	171	4
9172	458	4
9173	54	13
9174	553	0
9175	94	33
9176	2060	13
9177	2060	13
9178	52	13
9179	377	13
9180	2478	13
9181	210	4
9182	548	13
9183	210	4
9184	282	21
9185	2060	13
9186	2060	13
9187	458	4
9188	616	48
9189	122	13
9190	377	13
9191	1162	101
9192	166	110
9193	1277	50
9194	1346	4
9195	62	33
9196	226	110
9197	209	48
9198	1746	10
9199	202	13
9200	964	110
9201	846	11
9202	63	4
9203	2218	9
9204	608	11
9205	853	15
9206	670	33
9207	295	21
9208	458	4
9209	241	11
9210	52	13
9211	2060	13
9212	146	13
9213	171	4
9214	122	13
9215	91	48
9216	377	13
9217	30	4
9218	1200	48
9219	77	74
9220	122	13
9221	2478	13
9222	629	4
9223	171	4
9224	122	13
9225	291	4
9226	548	13
9227	171	4
9228	260	48
9229	77	74
9230	122	13
9231	171	4
9232	174	13
9233	1200	48
9234	310	48
9235	129	4
9236	587	4
9237	62	33
9238	226	110
9239	1277	50
9240	209	48
9241	52	13
9242	295	21
9243	2634	4
9244	122	13
9245	171	4
9246	244	33
9247	171	4
9248	122	13
9249	346	13
9250	30	4
9251	174	13
9252	29	13
9253	171	4
9254	122	13
9255	62	33
9256	129	4
9257	132	11
9258	997	4
9259	171	4
9260	122	13
9261	51	4
9262	1346	4
9263	76	13
9264	62	33
9265	587	4
9266	555	110
9267	29	13
9268	91	48
9269	708	13
9270	174	13
9271	1126	4
9272	42	48
9273	38	50
9274	634	27
9275	30	4
9276	122	13
9277	29	13
9278	132	11
9279	997	4
9280	132	11
9281	997	4
9282	132	11
9283	997	4
9284	132	11
9285	997	4
9286	997	4
9287	132	11
9288	132	11
9289	997	4
9290	997	4
9291	132	11
9292	997	4
9293	1050	27
9294	18	33
9295	1568	110
9296	1050	27
9297	132	11
9298	997	4
9299	18	33
9300	997	4
9301	132	11
9302	600	0
9303	600	0
9304	997	4
9305	132	11
9306	997	4
9307	299	68
9308	132	11
9309	1568	110
9310	1878	0
9311	997	4
9312	132	11
9313	997	4
9314	132	11
9315	132	11
9316	997	4
9317	132	11
9318	997	4
9319	132	11
9320	997	4
9321	132	11
9322	997	4
9323	132	11
9324	997	4
9325	132	11
9326	997	4
9327	132	11
9328	997	4
9329	997	4
9330	132	11
9331	132	11
9332	997	4
9333	132	11
9334	997	4
9335	132	11
9336	997	4
9337	132	11
9338	997	4
9339	997	4
9340	132	11
9341	997	4
9342	132	11
9343	132	11
9344	997	4
9345	132	11
9346	997	4
9347	132	11
9348	997	4
9349	132	11
9350	997	4
9351	997	4
9352	132	11
9353	132	11
9354	997	4
9355	997	4
9356	18	33
9357	600	0
9358	132	11
9359	132	11
9360	997	4
9361	483	29
9362	132	11
9363	669	27
9364	997	4
9365	132	11
9366	997	4
9367	1361	27
9368	18	33
9369	997	4
9370	997	4
9371	132	11
9372	146	13
9373	1150	27
9374	811	4
9375	193	29
9376	1150	27
9377	811	4
9378	193	29
9379	383	13
9380	811	4
9381	193	29
9382	383	13
9383	1150	27
9384	811	4
9385	193	29
9386	383	13
9387	937	4
9388	502	33
9389	87	23
9390	937	4
9391	502	33
9392	87	23
9393	87	23
9394	502	33
9395	937	4
9396	937	4
9397	502	33
9398	87	23
9399	87	23
9400	834	4
9401	87	23
9402	937	4
9403	502	33
9404	937	4
9405	87	23
9406	383	13
9407	193	29
9408	811	4
9409	1150	27
9410	23	47
9412	152	76
9413	227	4
9414	152	76
9416	23	47
9417	1347	47
9418	175	4
9419	1347	47
9420	23	47
9421	1347	47
9423	152	76
9424	175	4
9425	1347	47
9426	170	13
9427	1347	47
9428	23	47
9429	227	4
9430	152	76
9432	709	37
9433	152	76
9434	227	4
9436	815	47
9437	2083	64
9438	227	4
9439	1564	47
9440	1589	77
9441	1347	47
9442	152	76
9443	23	47
9444	227	4
9445	709	37
9446	1347	47
9447	152	76
9448	1589	77
9449	709	37
9450	175	4
9451	152	76
9452	780	0
9453	373	55
9454	2809	0
9455	175	4
9456	780	0
9457	2676	47
9458	734	15
9459	152	76
9460	709	37
9462	175	4
9463	1347	47
9464	1347	47
9465	152	76
9466	23	47
9467	132	11
9468	997	4
9469	6	4
9470	2060	13
9471	750	47
9472	90	4
9473	193	29
9474	170	13
9475	97	13
9476	2545	2
9477	709	37
9478	227	4
9479	152	76
9480	940	13
9481	1219	47
9482	1347	47
9483	383	13
9484	193	29
9485	811	4
9486	1150	27
9487	53	13
9488	67	4
9489	253	4
9490	544	4
9491	448	4
9492	383	13
9493	193	29
9494	811	4
9495	758	26
9496	1174	0
9497	124	110
9498	124	110
9499	58	24
9500	1262	102
9501	227	4
9502	152	76
9503	1914	47
9504	279	47
9505	227	4
9506	152	76
9507	279	47
9508	1914	47
9509	152	76
9510	1914	47
9511	227	4
9512	279	47
9513	152	76
9514	1914	47
9515	227	4
9516	151	19
9517	227	4
9518	152	76
9519	1914	47
9520	152	76
9521	1418	13
9522	170	13
9523	151	19
9524	1914	47
9525	227	4
9526	279	47
9527	152	76
9528	1914	47
9529	227	4
9530	1262	102
9531	1337	65
9532	58	24
9533	227	4
9534	1914	47
9535	279	47
9536	152	76
9537	152	76
9538	279	47
9539	1914	47
9540	227	4
9541	1914	47
9542	227	4
9543	279	47
9544	152	76
9545	1453	2
9546	1262	102
9547	58	24
9548	1337	65
9549	1337	65
9550	58	24
9551	1262	102
9552	1262	102
9553	58	24
9554	1337	65
9555	58	24
9556	1262	102
9557	124	110
9558	1337	65
9559	1409	33
9560	867	48
9561	58	24
9562	489	26
9563	152	76
9564	227	4
9565	1084	33
9566	58	24
9567	56	24
9568	389	13
9569	1262	102
9570	2434	24
9571	124	110
9572	227	4
9573	152	76
9574	279	47
9575	1914	47
9576	237	4
9577	370	76
9578	1914	47
9579	279	47
9580	279	47
9581	152	76
9582	1914	47
9583	227	4
9584	58	24
9585	1337	65
9586	124	110
9587	58	24
9588	1262	102
9589	227	4
9590	1914	47
9591	170	13
9592	152	76
9593	151	19
9594	618	48
9595	1418	13
9596	58	24
9597	69	13
9598	389	13
9599	124	110
9600	124	110
9601	58	24
9602	56	24
9603	1262	102
9604	2434	24
9605	124	110
9606	56	24
9607	56	24
9608	124	110
9609	1865	13
9610	227	4
9611	1418	13
9612	151	19
9613	152	76
9614	618	48
9615	1084	33
9616	248	13
9617	58	24
9618	1041	110
9619	389	13
9620	56	24
9621	1262	102
9622	124	110
9623	58	24
9624	151	19
9625	1914	47
9626	227	4
9627	238	76
9628	618	48
9629	1297	110
9630	389	13
9631	1418	13
9632	279	47
9633	151	19
9634	1914	47
9635	152	76
9636	227	4
9637	69	13
9638	58	24
9639	389	13
9640	58	24
9641	389	13
9642	69	13
9643	618	48
9644	227	4
9645	1914	47
9646	152	76
9647	151	19
9648	69	13
9649	58	24
9650	389	13
9651	56	24
9652	58	24
9653	867	48
9654	1409	33
9655	489	26
9656	58	24
9657	58	24
9658	124	110
9659	56	24
9660	679	4
9661	372	27
9662	174	13
9663	30	4
9664	750	47
9665	1003	30
9666	256	13
9667	594	27
9668	189	13
9669	193	29
9670	768	4
9671	170	13
9672	109	13
9673	190	4
9674	12	13
9675	129	4
9676	2132	30
9677	122	13
9678	1200	48
9679	83	4
9680	310	48
9681	146	13
9682	669	27
9683	122	13
9684	244	33
9685	340	11
9686	1722	10
9687	1518	74
9688	171	4
9689	1891	41
9690	171	4
9691	2377	13
9692	272	13
9693	170	13
9694	1346	4
9695	587	4
9696	62	33
9697	83	4
9698	91	48
9699	170	13
9700	1200	48
9701	122	13
9702	174	13
9703	30	4
9704	1320	4
9705	170	13
9706	132	11
9707	997	4
9708	310	48
9709	272	13
9710	171	4
9711	52	13
9712	70	13
9713	458	4
9714	171	4
9715	170	13
9716	1454	11
9717	1165	13
9718	1368	54
9719	853	15
9720	63	4
9721	276	11
9722	202	13
9723	587	4
9724	277	4
9725	932	11
9726	190	4
9727	1704	13
9728	193	29
9729	190	4
9730	12	13
9731	2350	0
9732	2798	27
9733	129	4
9734	588	4
9735	412	13
9736	277	4
9737	171	4
9738	132	11
9739	997	4
9740	997	4
9741	132	11
9742	132	11
9743	997	4
9744	1200	48
9745	1346	4
9746	209	48
9747	76	13
9748	1039	0
9749	418	13
9750	679	4
9751	681	13
9752	190	4
9753	193	29
9754	12	13
9755	2060	13
9756	1226	29
9757	418	13
9758	2549	84
9759	277	4
9760	122	13
9761	708	13
9762	83	4
9763	1200	48
9764	91	48
9765	189	13
9766	629	4
9767	2478	13
9768	171	4
9769	553	0
9770	1030	13
9771	42	48
9772	174	13
9773	166	110
9774	997	4
9775	132	11
9776	76	13
9777	260	48
9778	77	74
9779	171	4
9780	350	110
9781	122	13
9782	353	4
9783	122	13
9784	76	13
9785	148	0
9786	171	4
9787	1346	4
9788	616	48
9789	212	30
9790	140	110
9791	70	13
9792	295	21
9793	52	13
9794	458	4
9795	83	4
9796	29	13
9797	122	13
9798	1722	10
9799	146	13
9800	2133	27
9801	124	110
9802	758	26
9803	2546	13
9804	193	29
9805	681	13
9806	2060	13
9807	190	4
9808	389	13
9809	124	110
9810	669	27
9811	383	13
9812	1124	4
9813	193	29
9814	132	11
9815	997	4
9816	152	76
9817	279	47
9818	1914	47
9819	227	4
9820	700	4
9821	2478	13
9822	122	13
9823	195	32
9824	1	32
9825	53	13
9826	76	13
9827	122	13
9828	527	4
9829	146	13
9830	1181	48
9831	436	42
9832	91	48
9833	77	74
9834	310	48
9835	29	13
9836	304	26
9837	122	13
9838	171	4
9839	2124	32
9840	53	13
9841	1123	4
9842	255	2
9843	708	13
9844	1313	81
9845	310	48
9846	672	13
9847	83	4
9848	91	48
9849	1200	48
9850	468	13
9851	277	4
9852	468	13
9853	1200	48
9854	1416	13
9855	91	48
9856	45	4
9857	310	48
9858	174	13
9859	42	48
9860	45	4
9861	91	48
9862	38	50
9863	310	48
9864	122	13
9865	29	13
9866	146	13
9867	2132	30
9868	468	13
9869	29	13
9870	310	48
9871	144	30
9872	45	4
9873	310	48
9874	672	13
9875	45	4
9876	91	48
9877	122	13
9878	42	48
9879	189	13
9880	189	13
9881	144	30
9882	1097	13
9883	310	48
9884	45	4
9885	122	13
9886	260	48
9887	346	13
9888	29	13
9889	310	48
9890	91	48
9891	135	4
9892	111	13
9893	171	4
9894	42	48
9895	174	13
9896	91	48
9897	310	48
9898	146	13
9899	29	13
9900	652	13
9901	242	27
9902	346	13
9903	91	48
9904	38	50
9905	672	13
9906	45	4
9907	146	13
9908	2132	30
9909	45	4
9910	310	48
9911	122	13
9912	2534	13
9913	1097	13
9914	122	13
9915	310	48
9916	42	48
9917	242	27
9918	146	13
9919	29	13
9920	83	4
9921	310	48
9922	144	30
9923	146	13
9924	174	13
9925	42	48
9926	45	4
9927	242	27
9928	178	110
9929	111	13
9930	310	48
9931	45	4
9932	146	13
9933	1200	48
9934	346	13
9935	122	13
9936	42	48
9937	29	13
9938	91	48
9939	45	4
9940	38	50
9941	788	48
9942	45	4
9943	672	13
9944	646	33
9945	91	48
9946	335	13
9947	171	4
9948	146	13
9949	38	50
9950	122	13
9951	29	13
9952	310	48
9953	652	13
9954	468	13
9955	135	4
9956	1097	13
9957	122	13
9958	171	4
9959	91	48
9960	310	48
9961	174	13
9962	42	48
9963	146	13
9964	29	13
9965	45	4
9966	310	48
9967	38	50
9968	52	13
9969	122	13
9970	146	13
9971	652	13
9972	29	13
9973	171	4
9974	2132	30
9975	122	13
9976	935	13
9977	174	13
9978	708	13
9979	310	48
9980	38	50
9981	29	13
9982	45	4
9983	38	50
9984	310	48
9985	146	13
9986	122	13
9987	29	13
9988	652	13
9989	91	48
9990	146	13
9991	310	48
9992	45	4
9993	672	13
9994	42	48
9995	29	13
9996	171	4
9997	468	13
9998	91	48
9999	310	48
10000	1416	13
10001	174	13
10002	260	48
10003	146	13
10004	91	48
10005	174	13
10006	42	48
10007	310	48
10008	171	4
10009	42	48
10010	29	13
10011	310	48
10012	174	13
10013	171	4
10014	91	48
10015	144	30
10016	45	4
10017	38	50
10018	310	48
10019	146	13
10020	174	13
10021	29	13
10022	1200	48
10023	310	48
10024	174	13
10025	29	13
10026	83	4
10027	1200	48
10028	122	13
10029	564	13
10030	122	13
10031	45	4
10032	2132	30
10033	146	13
10034	122	13
10035	347	50
10036	96	13
10037	45	4
10038	91	48
10039	1200	48
10040	174	13
10041	29	13
10042	91	48
10043	310	48
10044	686	8
10045	29	13
10046	111	13
10047	45	4
10048	144	30
10049	29	13
10050	174	13
10051	1200	48
10052	144	30
10053	788	48
10054	38	50
10055	42	48
10056	122	13
10057	45	4
10058	144	30
10059	122	13
10060	557	13
10061	310	48
10062	38	50
10063	122	13
10064	45	4
10065	29	13
10066	347	50
10067	146	13
10068	2638	50
10069	29	13
10070	122	13
10071	260	48
10072	171	4
10073	91	48
10074	814	68
10075	42	48
10076	310	48
10077	146	13
10078	174	13
10079	29	13
10080	42	48
10081	171	4
10082	1097	13
10083	310	48
10084	122	13
10085	2132	30
10086	96	13
10087	91	48
10088	1272	13
10089	42	48
10090	564	13
10091	122	13
10092	310	48
10093	38	50
10094	146	13
10095	122	13
10096	45	4
10097	772	13
10098	242	27
10099	42	48
10100	310	48
10101	174	13
10102	29	13
10103	146	13
10104	83	4
10105	242	27
10106	38	50
10107	45	4
10108	672	13
10109	335	13
10110	1200	48
10111	468	13
10112	91	48
10113	310	48
10114	122	13
10115	242	27
10116	146	13
10117	29	13
10118	45	4
10119	38	50
10120	1200	48
10121	146	13
10122	45	4
10123	174	13
10124	310	48
10125	310	48
10126	29	13
10127	122	13
10128	83	4
10129	2132	30
10130	1200	48
10131	346	13
10132	144	30
10133	29	13
10134	122	13
10135	2591	18
10136	45	4
10137	1200	48
10138	310	48
10139	144	30
10140	646	33
10141	672	13
10142	45	4
10143	335	13
10144	242	27
10145	42	48
10146	335	13
10147	174	13
10148	171	4
10149	38	50
10150	310	48
10151	174	13
10152	91	48
10153	45	4
10154	42	48
10155	146	13
10156	189	13
10157	29	13
10158	111	13
10159	171	4
10160	310	48
10161	91	48
10162	2060	13
10163	91	48
10164	514	13
10165	30	4
10166	174	13
10167	1200	48
10168	122	13
10169	45	4
10170	652	13
10171	38	50
10172	1097	13
10173	122	13
10174	242	27
10175	42	48
10176	310	48
10177	146	13
10178	122	13
10179	29	13
10180	83	4
10181	310	48
10182	122	13
10183	45	4
10184	146	13
10185	2534	13
10186	171	4
10187	174	13
10188	460	13
10189	29	13
10190	38	50
10191	310	48
10192	45	4
10193	688	110
10194	310	48
10195	346	13
10196	122	13
10197	146	13
10198	42	48
10199	91	48
10200	1097	13
10201	144	30
10202	45	4
10203	347	50
10204	310	48
10205	174	13
10206	171	4
10207	29	13
10208	310	48
10209	38	50
10210	178	110
10211	91	48
10212	672	13
10213	366	48
10214	1200	48
10215	669	27
10216	174	13
10217	42	48
10218	310	48
10219	29	13
10220	146	13
10221	83	4
10222	346	13
10223	122	13
10224	42	48
10225	708	13
10226	29	13
10227	91	48
10228	45	4
10229	38	50
10230	310	48
10231	1217	4
10232	189	13
10233	174	13
10234	91	48
10235	29	13
10236	1200	48
10237	38	50
10238	146	13
10239	310	48
10240	122	13
10241	45	4
10242	29	13
10243	652	13
10244	514	13
10245	91	48
10246	45	4
10247	42	48
10248	122	13
10249	189	13
10250	45	4
10251	174	13
10252	91	48
10253	29	13
10254	189	13
10255	1200	48
10256	310	48
10257	672	13
10258	42	48
10259	753	4
10260	146	13
10261	2214	30
10262	122	13
10263	310	48
10264	29	13
10265	83	4
10266	146	13
10267	1200	48
10268	91	48
10269	310	48
10270	174	13
10271	30	4
10272	146	13
